ASB,CVE,area,component,subcomponent,patch_level,android_id,type,severity,aosp_versions,patch_links,patch_files,vendor,references,tech_details,fix_details,notes,affected_silicon,cts_test,prior_patch_levels
2018-02,CVE-2017-13228,Platform,Media framework,Avcdec,2018-02-01,A-69478425,RCE,Critical,"6.0,6.0.1,7.0,7.1.1,7.1.2,8.0,8.1",N/A,"patches/android-7.1.2_r5/platform/external/libavc/0001-Decoder-Modified-loop-condition-while-parsing-ref_list_reor.bulletin.patch,patches/android-8.0.0_r1/platform/external/libavc/0001-Decoder-Modified-loop-condition-while-parsing-ref_list_reor.bulletin.patch,patches/android-8.1.0_r1/platform/external/libavc/0001-Decoder-Modified-loop-condition-while-parsing-ref_list_reor.bulletin.patch,patches/android-6.0.0_r1/platform/external/libavc/0001-Decoder-Modified-loop-condition-while-parsing-ref_list_reor.bulletin.patch,patches/android-6.0.1_r20/platform/external/libavc/0001-Decoder-Modified-loop-condition-while-parsing-ref_list_reor.bulletin.patch,patches/android-7.0.0_r1/platform/external/libavc/0001-Decoder-Modified-loop-condition-while-parsing-ref_list_reor.bulletin.patch,patches/android-7.1.1_r4/platform/external/libavc/0001-Decoder-Modified-loop-condition-while-parsing-ref_list_reor.bulletin.patch",N/A,N/A,"Due to a missing bounds check while processing  ref_list_reorderin in ih264d_dpb_mgr.c, an out-of-bounds write can occur. This could lead to remote code execution in a privileged process.",The fix is designed to check for out-of-bounds access.,N/A,N/A,android/security/cts/StagefrightTest.java#testStagefright_bug_69478425,N/A
2018-02,CVE-2017-13231,Platform,Media framework,Libmediadrm,2018-02-01,A-67962232,EoP,High,"8.0,8.1",N/A,"patches/android-8.0.0_r1/platform/frameworks/av/0001-cas-validate-shared-buffer-size-before-using-DO-NOT-MERG.bulletin.patch,patches/android-8.1.0_r1/platform/hardware/interfaces/0001-cas-validate-shared-buffer-size-before-using.bulletin.patch",N/A,N/A,"Due to a missing check of the shared buffer size before descrambling in descramblerImpl.cpp, an out-of-bounds write can occur. This could lead to an elevation of privilege in a privileged process.",The fix is designed to validate shared buffer size before using.,N/A,N/A,N/A,N/A
2018-02,CVE-2017-13232,Platform,Media framework,IAudioPolicyService,2018-02-01,A-68953950,ID,High,"5.1.1,6.0,6.0.1,7.0,7.1.1,7.1.2,8.0,8.1",N/A,"patches/android-7.1.2_r5/platform/frameworks/av/0002-IAudioPolicyService-Add-attribute-tags-sanitization.bulletin.patch,patches/android-5.1.1_r37/platform/frameworks/av/0004-IAudioPolicyService-Add-attribute-tags-sanitization.bulletin.patch,patches/android-8.0.0_r1/platform/frameworks/av/0002-IAudioPolicyService-Add-attribute-tags-sanitization.bulletin.patch,patches/android-6.0.0_r1/platform/frameworks/av/0002-IAudioPolicyService-Add-attribute-tags-sanitization.bulletin.patch,patches/android-6.0.1_r20/platform/frameworks/av/0002-IAudioPolicyService-Add-attribute-tags-sanitization.bulletin.patch,patches/android-8.1.0_r1/platform/frameworks/av/0002-IAudioPolicyService-Add-attribute-tags-sanitization.bulletin.patch,patches/android-7.0.0_r1/platform/frameworks/av/0002-IAudioPolicyService-Add-attribute-tags-sanitization.bulletin.patch,patches/android-7.1.1_r4/platform/frameworks/av/0002-IAudioPolicyService-Add-attribute-tags-sanitization.bulletin.patch",N/A,N/A,"Due to a missing string null terminal check, when the audio_attributes_t is read from the binder parcel, an out-of-bounds read could occur. This could result in information disclosure that allows a bypass for operating system protections that isolate users or profiles from one another.",The fix is designed to add attribute tags sanitization.,N/A,N/A,N/A,N/A
2018-02,CVE-2017-13230,Platform,Media framework,Hevcdec,2018-02-01,A-65483665,RCE,Critical,"5.1.1,6.0,6.0.1,7.0,7.1.1,7.1.2,8.0,8.1",N/A,"patches/android-5.1.1_r37/platform/frameworks/av/0002-RESTRICT-AUTOMERGE-SimpleSoftOMXComponent-change-CHECK-to-e.bulletin.patch,patches/android-5.1.1_r37/platform/frameworks/av/0001-RESTRICT-AUTOMERGE-SoftHEVC-Handle-error-in-reInitDecoder-.bulletin.patch,patches/android-6.0.1_r20/platform/external/libhevc/0001-Check-if-luma-wd-and-ht-are-multiple-of-min-cb-size.bulletin.patch,patches/android-7.0.0_r1/platform/external/libhevc/0001-Check-if-luma-wd-and-ht-are-multiple-of-min-cb-size.bulletin.patch,patches/android-7.1.1_r4/platform/external/libhevc/0001-Check-if-luma-wd-and-ht-are-multiple-of-min-cb-size.bulletin.patch,patches/android-7.1.2_r5/platform/external/libhevc/0001-Check-if-luma-wd-and-ht-are-multiple-of-min-cb-size.bulletin.patch,patches/android-8.0.0_r1/platform/external/libhevc/0001-Check-if-luma-wd-and-ht-are-multiple-of-min-cb-size.bulletin.patch,patches/android-8.1.0_r1/platform/external/libhevc/0001-Check-if-luma-wd-and-ht-are-multiple-of-min-cb-size.bulletin.patch,patches/android-5.1.1_r37/platform/external/libhevc/0001-Check-if-luma-wd-and-ht-are-multiple-of-min-cb-size.bulletin.patch,patches/android-6.0.0_r1/platform/external/libhevc/0001-Check-if-luma-wd-and-ht-are-multiple-of-min-cb-size.bulletin.patch",N/A,N/A,"Due to a bad bounds check in ihevcd_parse_headers.c while parsing pic luma samples, an out-of-bounds write can occur. This could lead to remote code execution in a privileged process.",The fix is designed to align width and height to 8.,N/A,N/A,android/security/cts/StagefrightTest.java#testStagefright_bug_65483665,N/A
2018-02,CVE-2017-13233,Platform,Media framework,Hevcdec,2018-02-01,A-62851602,DoS,High,"5.1.1,6.0,6.0.1,7.0,7.1.1,7.1.2,8.0,8.1",N/A,"patches/android-6.0.1_r20/platform/external/libhevc/0002-Update-ctb-pu-map-for-I-slice.bulletin.patch,patches/android-7.0.0_r1/platform/external/libhevc/0002-Update-ctb-pu-map-for-I-slice.bulletin.patch,patches/android-7.1.1_r4/platform/external/libhevc/0002-Update-ctb-pu-map-for-I-slice.bulletin.patch,patches/android-7.1.2_r5/platform/external/libhevc/0002-Update-ctb-pu-map-for-I-slice.bulletin.patch,patches/android-8.0.0_r1/platform/external/libhevc/0002-Update-ctb-pu-map-for-I-slice.bulletin.patch,patches/android-8.1.0_r1/platform/external/libhevc/0002-Update-ctb-pu-map-for-I-slice.bulletin.patch,patches/android-5.1.1_r37/platform/external/libhevc/0002-Update-ctb-pu-map-for-I-slice.bulletin.patch,patches/android-6.0.0_r1/platform/external/libhevc/0002-Update-ctb-pu-map-for-I-slice.bulletin.patch",N/A,N/A,"When a clip has I and B slices in a single picture, an infinite loop in ihevcd_ctb_boundary_strength_pbslice could occurs. This could lead to a denial of service of a critical system process.",The fix is designed to update I slices before P/B slices in the same frame.,N/A,N/A,N/A,N/A
2018-02,CVE-2017-13234,Platform,Media framework,Libsonivox,2018-02-01,A-68159767,DoS,High,"5.1.1,6.0,6.0.1,7.0,7.1.1,7.1.2,8.0,8.1",N/A,"patches/android-7.0.0_r1/platform/external/sonivox/0001-Fix-memory-leak.bulletin.patch,patches/android-7.1.1_r4/platform/external/sonivox/0001-Fix-memory-leak.bulletin.patch,patches/android-7.1.2_r5/platform/external/sonivox/0001-Fix-memory-leak.bulletin.patch,patches/android-8.0.0_r1/platform/external/sonivox/0001-Fix-memory-leak.bulletin.patch,patches/android-8.1.0_r1/platform/external/sonivox/0001-Fix-memory-leak.bulletin.patch,patches/android-5.1.1_r37/platform/external/sonivox/0001-Fix-memory-leak.bulletin.patch,patches/android-6.0.0_r1/platform/external/sonivox/0001-Fix-memory-leak.bulletin.patch,patches/android-6.0.1_r20/platform/external/sonivox/0001-Fix-memory-leak.bulletin.patch",N/A,N/A,"In DLSParser of eas_mdls.c, there is an error path where dls.wsmpData is not freed, which could lead to a memory leak. This could lead to a denial of service of a critical system process.",The fix is designed to free dls.wsmpData in all return paths to prevent memory leaks.,N/A,N/A,N/A,N/A
2018-02,CVE-2017-13236,Platform,System,Keystore,2018-02-01,A-68217699,EoP,Moderate,"8.0,8.1",N/A,"patches/android-8.1.0_r1/platform/system/security/0002-Fixing-bug-in-security-vulnerability-patch.bulletin.patch,patches/android-8.1.0_r1/platform/system/security/0001-Fixing-security-vuln-by-tightening-race-condition-window-.bulletin.patch,patches/android-8.0.0_r1/platform/system/security/0002-Fixing-bug-in-security-vulnerability-patch.bulletin.patch,patches/android-8.0.0_r1/platform/system/security/0001-Fixing-security-vuln-by-tightening-race-condition-window-.bulletin.patch",N/A,N/A,"KeyStoreService::generateKey has a race condition where the pid of the process calling in is checked against an array of allowed pids. However, in between the check and the array population, the process could fork and get a pid that was in the array of allowed pids. This could allow the process to perform privileged actions without being in the privileged process list, resulting in an elevation of privilege.","The fix is designed to check if the pid of the process changed, and error out if it did.",N/A,N/A,N/A,N/A
2018-02,CVE-2017-0837,Platform,Update: Media framework,Soundtrigger,2018-02-01,A-64340921,EoP,High,"5.1.1,6.0,6.0.1,7.0,7.1.1,7.1.2",N/A,"patches/android-7.1.2_r5/platform/frameworks/av/0001-Soundtrigger-service-fix-status-reporting-in-loadSoundModel.bulletin.patch,patches/android-5.1.1_r37/platform/frameworks/av/0003-Soundtrigger-service-fix-status-reporting-in-loadSoundModel.bulletin.patch,patches/android-6.0.0_r1/platform/frameworks/av/0001-Soundtrigger-service-fix-status-reporting-in-loadSoundModel.bulletin.patch,patches/android-6.0.1_r20/platform/frameworks/av/0001-Soundtrigger-service-fix-status-reporting-in-loadSoundModel.bulletin.patch,patches/android-7.0.0_r1/platform/frameworks/av/0001-Soundtrigger-service-fix-status-reporting-in-loadSoundModel.bulletin.patch,patches/android-7.1.1_r4/platform/frameworks/av/0001-Soundtrigger-service-fix-status-reporting-in-loadSoundModel.bulletin.patch",N/A,N/A,In the previous fix a possible deadlock was introduced.,The fix is designed to fix the deadlock.,This fix was originally released in the December 2017 partner preview security bulletin.,N/A,N/A,2017-12-01
2018-02,CVE-2017-13238,Kernel,HTC components,Bootloader,2018-02-05,A-64610940,ID,High,N/A,N/A,code_snippets/ANDROID-64610940.zip,HTC,N/A,"XBLRamDump mode is accessible via a key combination at boot time in release builds. This could enable an attacker with physical device access to dump device memory, including on-chip memory used by TrustZone.",The fix is designed to disable the RAM dump functionality.,N/A,N/A,N/A,N/A
2018-02,CVE-2017-13247,Kernel,HTC components,Bootloader,2018-02-05,A-71486645,EoP,Moderate,N/A,N/A,code_snippets/ANDROID-71486645.zip,HTC,N/A,"In the Pixel 2 bootloader, there is an elevation of privilege due to a missing permission check. This could lead to a bypass of carrier restrictions.",The fix is designed to add a permission check.,N/A,N/A,N/A,N/A
2018-02,CVE-2017-15265,Kernel,Kernel components,ALSA,2018-02-05,A-67900971,EoP,High,N/A,https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux-stable.git/commit/sound/?h=v4.4.103&id=23709ae9b61429502fcd4686e7a97333f3b3544a,N/A,Upstream Linux,N/A,"In snd_seq_ioctl_create_port in seq_clientmgr.c, there is a possible use after free due to a race condition involving port creation / deletion. This could lead to local escalation of privilege.",The fix is designed to implement proper reference counting / locking.,N/A,N/A,N/A,N/A
2018-02,CVE-2015-9016,Kernel,Kernel components,Multi-queue block IO,2018-02-05,A-63083046,EoP,High,N/A,https://github.com/torvalds/linux/commit/0048b4837affd153897ed1222283492070027aa9,N/A,Upstream Linux,N/A,"In blk_mq_tag_to_rq in blk-mq.c, there is a possible use after free due to a race condition when a request has been previously freed by blk_mq_complete_request. This could lead to local escalation of privilege.",The fix is designed to properly track active multi-queue block IO requests and simplify blk_mq_tag_to_rq.,N/A,N/A,N/A,N/A
2018-02,CVE-2017-17770,Kernel,Kernel components,Kernel,2018-02-05,A-65853158,EoP,High,N/A,N/A,code_snippets/ANDROID-65853158.zip,Upstream Linux,N/A,"In qtaguid_ctrl_proc_write in xt_qtaguid.c, there is a possible use after free due to a race condition. This could lead to local escalation of privilege.",The fix is designed to apply proper locking.,N/A,N/A,N/A,N/A
2018-02,CVE-2017-6279,Kernel,NVIDIA components,Media framework,2018-02-05,A-65023166,EoP,High,N/A,N/A,code_snippets/ANDROID-65023166.zip,Nvidia,N-CVE-2017-6279,"In libnvmmlite_audio.so when running in mediaserver, there is a possible out of bounds write.  This could lead to local code execution in a privileged process.",The fix is designed to prevent the out of bounds write.,N/A,N/A,N/A,N/A
2018-02,CVE-2017-6258,Kernel,NVIDIA components,Media framework,2018-02-05,A-38027496,EoP,High,N/A,N/A,code_snippets/ANDROID-38027496.zip,Nvidia,N-CVE-2017-6258,"In libnvomx.so when running in mediaserver, there is a possible out of bounds write.  This could lead to local code execution in a privileged process.",The fix is designed to prevent the out of bounds write.,N/A,N/A,N/A,N/A
2018-02,CVE-2017-15817,Kernel,Qualcomm components,WLan,2018-02-05,A-68992394,RCE,Critical,N/A,"https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/prima/commit/?id=8ba78e506e5002cdae525dd544dbf1df0ccce1ef,https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/prima/commit/?id=fe43c2b64ac81199de17efc258e95546cb0546f1",N/A,Qualcomm,QC-CR#2076603 [2],"In limEncryptAuthFrame in limSecurityUtils.c, there is a possible stack-based buffer overflow due to overlong AP challenge text. This could lead to remote code execution in a privileged process.",The fix is designed to use an appropriately sized buffer to store challenge text.,N/A,N/A,N/A,N/A
2018-02,CVE-2017-17760,Kernel,Qualcomm components,WLan,2018-02-05,A-68992416,RCE,Critical,N/A,"https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-2.0/commit/?id=71331327ac389bff7d5af2707c4325e5b7949013,https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-2.0/commit/?id=a6afff2717791ceb281354833d4489123ae62605",N/A,Qualcomm,QC-CR#2082544 [2],"In limProcessAuthFrame in limProcessAuthFrame.c, there is a possible stack-based buffer overflow due to an overlong MAC auth challenge. This could lead to remote code execution in a privileged process.",The fix is designed to dynamically allocate memory so as to properly handle the MAC auth challenge.,N/A,N/A,N/A,N/A
2018-02,CVE-2017-11041,Kernel,Qualcomm components,Media framework,2018-02-05,A-35269676,EoP,High,N/A,N/A,N/A,Qualcomm,QC-CR#2053101,"In several places in the mm-video-v4l2 encoder, a buffer is accessed after it is already freed. This could lead to a use after free which could lead to an elevation of privilege in a privileged process.",The fix is designed to add locks to prevent the Use After Free.,N/A,N/A,N/A,N/A
2018-02,CVE-2017-17767,Kernel,Qualcomm components,Media framework,2018-02-05,A-64750179,EoP,High,N/A,N/A,N/A,Qualcomm,QC-CR#2115779,"In fill_this_buffer_proxy in omx_video_base.cpp, there is a possible use after free due to an output buffer being freed prior to its usage. This could lead to local code execution in a privileged process.","The fix is designed to protect the buffer from being freed prior to an access, and apply proper locking.",N/A,N/A,N/A,N/A
2018-02,CVE-2017-17765,Kernel,Qualcomm components,WLan,2018-02-05,A-68992445,EoP,High,N/A,https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=66e561b0c7fff54e8cacd87d2b7d9bb3eef4f13b,N/A,Qualcomm,QC-CR#2115112,"In wma_get_ll_stats_ext_buf in wma_utils.c, there is an integer overflow leading to an insufficient buffer allocation and subsequent out of bounds write on the heap. This could lead to local escalation of privilege.",The fix is designed to properly validate input values received from firmware and used in wma_get_ll_stats_ext_buf.,N/A,N/A,N/A,N/A
2018-02,CVE-2017-17762,Kernel,Qualcomm components,WLan,2018-02-05,A-68992439,EoP,High,N/A,https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=41ee23cd0972ef2ed47dd76eb7cd44a0268e4f9f,N/A,Qualcomm,QC-CR#2114426,"In wma_unified_link_radio_stats_event_handler in wma_utils.c, there is an integer overflow leading to an out of bounds write. This could lead to local escalation of privilege.",The fix is designed to properly validate input values received from firmware and used in wma_unified_link_radio_stats_event_handler.,N/A,N/A,N/A,N/A
2018-02,CVE-2017-14884,Kernel,Qualcomm components,WLan,2018-02-05,A-68992429,EoP,High,N/A,https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-2.0/commit/?id=0ce15ef4075719a82858b7324690be7011cab832,N/A,Qualcomm,QC-CR#2113052,"In WLANQCMBR_McProcessMsg in wlan_hdd_ftm.c, there is a possible out of bounds write due to an unvalidated buffer length variable supplied by input.  This could lead to local escalation of privilege.",The fix is designed to validate the buffer length supplied to WLANQCMBR_McProcessMsg.,N/A,N/A,N/A,N/A
2018-02,CVE-2017-15829,Kernel,Qualcomm components,Graphics_Linux,2018-02-05,A-68992397,EoP,High,N/A,https://source.codeaurora.org/quic/la/kernel/msm-4.4/commit/?id=c1b60e554e158bfcf6932ed2c543c309236e0f79,N/A,Qualcomm,QC-CR#2097917,"In GPU driver code kgsl.c, there is a possible use after free due to a race condition. This could lead to local escalation of privilege.",The fix is designed to add proper locks to avoid race conditions.,N/A,N/A,N/A,N/A
2018-02,CVE-2017-15820,Kernel,Qualcomm components,Graphics_Linux,2018-02-05,A-68992396,EoP,High,N/A,https://source.codeaurora.org/quic/la/kernel/msm-4.4/commit/?id=7599c5b7d87248b4772d6c4b70ccb922704c8095,N/A,Qualcomm,QC-CR#2093377,"In GPU driver code kgsl.c, there is a possible use after free due to a race condition.  This could lead to local escalation of privilege.",The fix is designed to add proper locks to avoid race conditions.,N/A,N/A,N/A,N/A
2018-02,CVE-2017-17764,Kernel,Qualcomm components,WLan,2018-02-05,A-68992443,EoP,High,N/A,https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=f451565c052a0322565225515f46be677c0d1b18,N/A,Qualcomm,QC-CR#2114789,"In wma_rx_aggr_failure_event_handler in wma_features.c, there is an integer overflow in a buffer size calculation leading to a buffer overflow. This could lead to local elevation of privilege.",The fix is designed to properly validate input values received from firmware and used in wma_rx_aggr_failure_event_handler.,N/A,N/A,N/A,N/A
