ASB,CVE,area,component,subcomponent,patch_level,android_id,type,severity,aosp_versions,patch_links,patch_files,vendor,references,tech_details,fix_details,notes,affected_silicon,cts_test,prior_patch_levels
2018-04,CVE-2017-8269,Kernel,Qualcomm components,IPA driver,N/A,A-33967002,ID,Moderate,N/A,N/A,N/A,Qualcomm,"QC-CR#2013145,QC-CR#2114278",In ipa3_wwan_ioctl of msm/drivers/platform/msm/ipa/ipa_v2/rmnet_ipa.c there is a out of bound read due to missing bounds check. This could lead to information disclosure with System execution privilege. User interaction is not needed.,The fix is designed to add a bounds check.,N/A,N/A,N/A,N/A
2018-04,CVE-2018-3596,Kernel,Qualcomm components,WLAN,N/A,A-35263529,EoP,Moderate,N/A,N/A,N/A,Qualcomm,QC-CR#640898,In iw_softap_commit of drivers/staging/prima/CORE/HDD/src/wlan_hdd_hostapd.c there is a out of bounds write due to missing bounds check. This could lead to local escalation of privilege with system execution privilege. User interaction is not needed.,The fix is designed to remove the entire function as it’s not being used.,N/A,N/A,N/A,N/A
2018-04,CVE-2017-13295,Platform,Framework,Package installer,N/A,A-62537081,DoS,Moderate,"6.0,6.0.1,7.0,7.1.1,7.1.2,8.0,8.1",N/A,"patches/android-6.0.0_r1/platform/frameworks/base/0001-Check-for-null-terminator-in-ResStringPool-string8At.bulletin.patch,patches/android-6.0.1_r20/platform/frameworks/base/0001-Check-for-null-terminator-in-ResStringPool-string8At.bulletin.patch,patches/android-7.0.0_r1/platform/frameworks/base/0001-Check-for-null-terminator-in-ResStringPool-string8At.bulletin.patch,patches/android-7.1.1_r4/platform/frameworks/base/0001-Check-for-null-terminator-in-ResStringPool-string8At.bulletin.patch,patches/android-7.1.2_r5/platform/frameworks/base/0001-Check-for-null-terminator-in-ResStringPool-string8At.bulletin.patch,patches/android-8.0.0_r1/platform/frameworks/base/0004-Check-for-null-terminator-in-ResStringPool-string8At.bulletin.patch,patches/android-8.1.0_r1/platform/frameworks/base/0002-Check-for-null-terminator-in-ResStringPool-string8At.bulletin.patch",N/A,N/A,"In the handleAttachmentUrisFromIntent() function of ComposeActivity.java, there is a possible denial of service due to improper input validation. This could lead to local denial of service by preventing the uninstallation of a malicious application with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to validate application label strings.,N/A,N/A,N/A,N/A
2018-04,CVE-2017-13293,Kernel,Kernel components,NFC driver,2018-04-05,A-62679701,EoP,High,N/A,N/A,code_snippets/ANDROID-62679701.zip,Upstream Linux,N/A,"In the nfc_hci_cmd_received() function of core.c, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege in the kernel with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to check the check the size of the incoming data buffer.,N/A,N/A,N/A,N/A
2018-04,CVE-2017-15837,Kernel,Qualcomm components,NL80211 driver,N/A,A-64403015,ID,Moderate,N/A,N/A,N/A,Qualcomm,QC-CR#2116387,In nl80211_set_wowlan of net/wireless/nl80211.c there is an out of bounds read due to improper bounds check. This could lead to information disclosure with system execution privilege. User interaction is not needed.,The fix is designed to add validation policies to avoid the out of bounds read.,N/A,N/A,N/A,N/A
2018-04,CVE-2018-3584,Kernel,Qualcomm components,rmnet_usb,N/A,A-64610600,ID,Moderate,N/A,N/A,N/A,Qualcomm,QC-CR#2142046,In rmnet_usb_ctrl_init of drivers/net/usb/rmnet_usb_data.c there is a use after free. This could lead to information disclosure with system execution privilege. User interaction is not needed.,The fix is designed to not reference the buffer if it’s freed.,N/A,N/A,N/A,N/A
2018-04,CVE-2017-15853,Kernel,Qualcomm components,WLAN,N/A,A-65853393,ID,Moderate,N/A,N/A,N/A,Qualcomm,QC-CR#2116517 QC-CR#2125577,In ptt_sock_send_msg_to_app of file qcacld-2.0/CORE/SVC/src/ptt/wlan_ptt_sock_svc.c there is a out of bounds read due to missing bounds check. This could lead to information disclosure with System execution privilege. User interaction is not needed.,The fix is designed to add bounds check.,N/A,N/A,N/A,N/A
2018-04,CVE-2017-13301,Platform,System,System UI,N/A,A-66498711,DoS,Moderate,8.0,N/A,"patches/android-8.0.0_r1/platform/frameworks/base/0001-Wrap-StackOverflowError-in-NotFoundException-Bug-67462465-.bulletin.patch,patches/android-8.0.0_r1/platform/frameworks/base/0003-RESTRICT-AUTOMERGE-Preventing-recursive-referrence-in-drawab.bulletin.patch",N/A,N/A,"In the system UI, there is a possible crash if an ""android:drawable"" in an adaptive icon refers to itself.  This could lead to a local permanent denial of service, with no additional execution privileges needed.  User interaction is not required for exploitation.",The fix is designed to change the stack overflow exception to prevent the crash.,N/A,N/A,N/A,N/A
2018-04,CVE-2017-18137,Kernel,Qualcomm closed-source components,Modem,2018-04-05,A-67712318,N/A,High,N/A,N/A,N/A,Qualcomm,QC-CR#2074769,N/A,N/A,Qualcomm AMSS bulletin: October 2017,N/A,N/A,N/A
2018-04,CVE-2017-18134,Kernel,Qualcomm closed-source components,Modem,2018-04-05,A-67712320,N/A,High,N/A,N/A,N/A,Qualcomm,QC-CR#2065069,N/A,N/A,Qualcomm AMSS bulletin: October 2017,N/A,N/A,N/A
2018-04,CVE-2017-8274,Kernel,Qualcomm closed-source components,Secure systems group,2018-04-05,A-68141335,N/A,Critical,N/A,N/A,N/A,Qualcomm,QC-CR#2006797,N/A,N/A,Qualcomm AMSS bulletin: June 2017,N/A,N/A,N/A
2018-04,CVE-2017-8275,Kernel,Qualcomm closed-source components,Multimedia,2018-04-05,A-68141336,N/A,High,N/A,N/A,N/A,Qualcomm,QC-CR#2012245,N/A,N/A,Qualcomm AMSS bulletin: June 2017,N/A,N/A,N/A
2018-04,CVE-2017-18071,Kernel,Qualcomm closed-source components,Secure systems group,2018-04-05,A-68326813,N/A,Critical,N/A,N/A,N/A,Qualcomm,QC-CR#-1082609,N/A,N/A,Qualcomm AMSS bulletin: March 2017,N/A,N/A,N/A
2018-04,CVE-2017-18074,Kernel,Qualcomm closed-source components,Multimedia,2018-04-05,A-68326816,N/A,High,N/A,N/A,N/A,Qualcomm,QC-CR#1095008,N/A,N/A,Qualcomm AMSS bulletin: March 2017,N/A,N/A,N/A
2018-04,CVE-2017-18073,Kernel,Qualcomm closed-source components,Secure systems group,2018-04-05,A-68326820,N/A,High,N/A,N/A,N/A,Qualcomm,QC-CR#1089324,N/A,N/A,Qualcomm AMSS bulletin: March 2017,N/A,N/A,N/A
