ASB,CVE,area,component,subcomponent,patch_level,android_id,type,severity,aosp_versions,patch_links,patch_files,vendor,references,tech_details,fix_details,notes,affected_silicon,cts_test,prior_patch_levels
2018-09,CVE-2018-11288,Kernel,Qualcomm closed-source components,xbl_sec,2018-09-05,A-109677940,N/A,High,N/A,N/A,N/A,Qualcomm,QC-CR#2205463,N/A,N/A,Qualcomm AMSS bulletin: June 2018,N/A,N/A,N/A
2018-09,CVE-2018-11290,Kernel,Qualcomm closed-source components,MAC randomization,2018-09-05,A-109677964,N/A,High,N/A,N/A,N/A,Qualcomm,QC-CR#2079140,N/A,N/A,Qualcomm AMSS bulletin: June 2018,N/A,N/A,N/A
2018-09,CVE-2018-11285,Kernel,Qualcomm closed-source components,FLAC parsing,2018-09-05,A-109677982,N/A,High,N/A,N/A,N/A,Qualcomm,QC-CR#2194100,N/A,N/A,Qualcomm AMSS bulletin: June 2018,N/A,N/A,N/A
2018-09,CVE-2018-11292,Kernel,Qualcomm closed-source components,WLANWMI,2018-09-05,A-109678202,N/A,High,N/A,N/A,N/A,Qualcomm,QC-CR#2168384,N/A,N/A,Qualcomm AMSS bulletin: June 2018,N/A,N/A,N/A
2018-09,CVE-2018-11287,Kernel,Qualcomm closed-source components,h265VspParseSliceHdr(),2018-09-05,A-109678380,N/A,High,N/A,N/A,N/A,Qualcomm,QC-CR#2192596,N/A,N/A,Qualcomm AMSS bulletin: June 2018,N/A,N/A,N/A
2018-09,CVE-2018-11270,Kernel,Qualcomm components,WiredConnectivity,2018-09-05,A-109741697,N/A,Moderate,N/A,N/A,N/A,Qualcomm,QC-CR#2205728,N/A,N/A,Qualcomm APSS bulletin: July 2018,N/A,N/A,N/A
2018-09,CVE-2018-9480,Platform,System,Bluetooth,2018-09-01,A-109757168,ID,High,"8.0,8.1,9.0",N/A,"patches/android-8.0.0_r1/platform/system/bt/0003-HIDD-Prevent-integer-underflow-in-bta_hd_act.bulletin.patch,patches/android-8.1.0_r1/platform/system/bt/0003-HIDD-Prevent-integer-underflow-in-bta_hd_act.bulletin.patch,patches/android-9.0.0_r1/platform/system/bt/0003-HIDD-Prevent-integer-underflow-in-bta_hd_act.bulletin.patch",N/A,N/A,"In bta_hd_get_report_act of bta_hd_act.cc, there is a possible out-of-bounds read due to improper input validation. This could lead to remote information disclosure in the Bluetooth service with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed perform validation to prevent integer underflow.,N/A,N/A,N/A,N/A
2018-09,CVE-2018-9481,Platform,System,Bluetooth,2018-09-01,A-109757435,ID,High,"8.0,8.1,9.0",N/A,"patches/android-8.0.0_r1/platform/system/bt/0003-HIDD-Prevent-integer-underflow-in-bta_hd_act.bulletin.patch,patches/android-8.1.0_r1/platform/system/bt/0003-HIDD-Prevent-integer-underflow-in-bta_hd_act.bulletin.patch,patches/android-9.0.0_r1/platform/system/bt/0003-HIDD-Prevent-integer-underflow-in-bta_hd_act.bulletin.patch",N/A,N/A,"In bta_hd_set_report_act of bta_hd_act.cc, there is a possible out-of-bounds read due to an integer overflow. This could lead to remote information disclosure in the Bluetooth service with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed perform validation to prevent integer underflow.,N/A,N/A,N/A,N/A
2018-09,CVE-2018-9482,Platform,System,Bluetooth,2018-09-01,A-109757986,ID,High,"8.0,8.1,9.0",N/A,"patches/android-8.0.0_r1/platform/system/bt/0003-HIDD-Prevent-integer-underflow-in-bta_hd_act.bulletin.patch,patches/android-8.1.0_r1/platform/system/bt/0003-HIDD-Prevent-integer-underflow-in-bta_hd_act.bulletin.patch,patches/android-9.0.0_r1/platform/system/bt/0003-HIDD-Prevent-integer-underflow-in-bta_hd_act.bulletin.patch",N/A,N/A,"In intr_data_copy_cb of btif_hd.cc, there is a possible out of bounds read due to an integer overflow. This could lead to local information disclosure in the Bluetooth service with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to perform validation to prevent integer underflow.,N/A,N/A,N/A,N/A
2018-09,CVE-2018-9469,Platform,Framework,Package Manager,2018-09-01,A-109824443,EoP,High,"7.1.1,7.1.2,8.0,8.1,9.0",N/A,"patches/android-7.1.1_r4/platform/frameworks/base/0001-RESTRICT-AUTOMERGE-Prevent-shortcut-info-package-name-spoof.bulletin.patch,patches/android-7.1.2_r5/platform/frameworks/base/0001-RESTRICT-AUTOMERGE-Prevent-shortcut-info-package-name-spoof.bulletin.patch,patches/android-8.0.0_r1/platform/frameworks/base/0001-Backport-Prevent-shortcut-info-package-name-spoofing.bulletin.patch,patches/android-8.1.0_r1/platform/frameworks/base/0001-Backport-Prevent-shortcut-info-package-name-spoofing.bulletin.patch,patches/android-9.0.0_r1/platform/frameworks/base/0002-Backport-Prevent-shortcut-info-package-name-spoofing.bulletin.patch",N/A,N/A,"In multiple functions of ShortcutService.java, there is a possible creation of a spoofed shortcut due to a missing permission check. This could lead to local escalation of privilege in a privileged app with no additional execution privileges needed. User interaction is needed for exploitation.",The fix is designed to verify shortcut info.,N/A,N/A,N/A,N/A
