ASB,CVE,area,component,subcomponent,patch_level,android_id,type,severity,aosp_versions,patch_links,patch_files,vendor,references,tech_details,fix_details,notes,affected_silicon,cts_test,prior_patch_levels
2018-10,CVE-2018-9476,Platform,System,Bluetooth,2018-10-01,A-109699112,EoP,Critical,"8.0,8.1",N/A,"patches/android-8.0.0_r1/platform/system/bt/0001-DO-NOT-MERGE-AVRC-Copy-browse-p_browse_data-in-btif_av_even.bulletin.patch,patches/android-8.1.0_r1/platform/system/bt/0001-DO-NOT-MERGE-AVRC-Copy-browse-p_browse_data-in-btif_av_even.bulletin.patch",N/A,N/A,"In avrc_pars_browsing_cmd of avrc_pars_tg.cc, there is a possible use-after-free due to improper locking. This could lead to remote escalation of privilege in the Bluetooth service with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to copy p_browse_data into the destination buffer to prevent the use-after-free.,N/A,N/A,N/A,N/A
2018-10,CVE-2018-9501,Platform,System,SetupWizard,2018-10-01,A-110034419,EoP,High,"7.0,7.1.1,7.1.2,8.0,8.1,9.0",N/A,"patches/android-7.0.0_r1/platform/packages/apps/Settings/0001-DO-NOT-MERGE-Disable-changing-lock-when-device-is-not-provis.bulletin.patch,patches/android-7.1.1_r4/platform/packages/apps/Settings/0001-DO-NOT-MERGE-Disable-changing-lock-when-device-is-not-provis.bulletin.patch,patches/android-7.1.2_r5/platform/packages/apps/Settings/0001-DO-NOT-MERGE-Disable-changing-lock-when-device-is-not-provis.bulletin.patch,patches/android-8.0.0_r1/platform/packages/apps/Settings/0001-DO-NOT-MERGE-Disable-changing-lock-when-device-is-not-provis.bulletin.patch,patches/android-8.1.0_r1/platform/packages/apps/Settings/0001-Disable-changing-lock-when-device-is-not-provisioned-.bulletin.patch,patches/android-9.0.0_r1/platform/packages/apps/Settings/0001-Disable-changing-lock-when-device-is-not-provisioned-.bulletin.patch",N/A,N/A,"In the SetupWizard, there is a possible Factory Reset Protection bypass due to a permissions bypass. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to disable changing device lock when the device is not provisioned to prevent the FRP bypass.,N/A,N/A,N/A,N/A
2018-10,CVE-2018-9504,Platform,System,Bluetooth,2018-10-01,A-110216176,RCE,Critical,"7.0,7.1.1,7.1.2,8.0,8.1,9.0",N/A,"patches/android-7.0.0_r1/platform/system/bt/0006-Fix-copy-length-calculation-in-sdp_copy_raw_data.bulletin.patch,patches/android-7.1.1_r4/platform/system/bt/0006-Fix-copy-length-calculation-in-sdp_copy_raw_data.bulletin.patch,patches/android-7.1.2_r5/platform/system/bt/0006-Fix-copy-length-calculation-in-sdp_copy_raw_data.bulletin.patch,patches/android-8.0.0_r1/platform/system/bt/0002-Fix-copy-length-calculation-in-sdp_copy_raw_data.bulletin.patch,patches/android-8.1.0_r1/platform/system/bt/0002-Fix-copy-length-calculation-in-sdp_copy_raw_data.bulletin.patch,patches/android-9.0.0_r1/platform/system/bt/0001-Fix-copy-length-calculation-in-sdp_copy_raw_data.bulletin.patch",N/A,N/A,"In sdp_copy_raw_data of sdp_discovery.cc, there is a possible out of bounds write due to an incorrect bounds check. This could lead to remote code execution over bluetooth with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to fix the copy length to avoid an out of bounds write.,N/A,N/A,N/A,N/A
2018-10,CVE-2018-9496,Platform,Media framework,libxaac,2018-10-01,A-110769924,RCE,Critical,9.0,N/A,patches/android-9.0.0_r1/platform/external/libxaac/0001-Fix-for-stack-corruption-in-esbr.bulletin.patch,N/A,N/A,In ixheaacd_real_synth_fft_p3 of ixheaacd_esbr_fft.c there is a possible out of bounds write due to a missing bounds check. This could lead to remote code execution with no additional execution privileges needed. User interaction is needed for exploitation.,"The fix is designed to change data sizes, use safer functions, and relocate some function pointers.",N/A,N/A,N/A,N/A
2018-10,CVE-2018-9505,Platform,System,Bluetooth,2018-10-01,A-110791536,ID,High,"7.0,7.1.1,7.1.2,8.0,8.1,9.0",N/A,"patches/android-7.0.0_r1/platform/system/bt/0004-DO-NOT-MERGE-Add-packet-length-checks-in-mca_ccb_hdl_req.bulletin.patch,patches/android-7.1.1_r4/platform/system/bt/0004-DO-NOT-MERGE-Add-packet-length-checks-in-mca_ccb_hdl_req.bulletin.patch,patches/android-7.1.2_r5/platform/system/bt/0004-DO-NOT-MERGE-Add-packet-length-checks-in-mca_ccb_hdl_req.bulletin.patch,patches/android-8.0.0_r1/platform/system/bt/0006-Add-packet-length-checks-in-mca_ccb_hdl_req.bulletin.patch,patches/android-8.1.0_r1/platform/system/bt/0006-Add-packet-length-checks-in-mca_ccb_hdl_req.bulletin.patch,patches/android-9.0.0_r1/platform/system/bt/0004-Add-packet-length-checks-in-mca_ccb_hdl_req.bulletin.patch",N/A,N/A,"In mca_ccb_hdl_req of mca_cact.cc, there is a possible out of bounds read due to a missing bounds check. This could lead to remote information disclosure over Bluetooth with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to add a bounds check.,N/A,N/A,N/A,N/A
2018-10,CVE-2018-9513,Kernel,Kernel components,Fork,2018-10-05,A-111081202,EoP,High,N/A,N/A,code_snippets/ANDROID-111081202.zip,Upstream Linux,N/A,"In copy_process of fork.c, there is possible memory corruption due to a double free. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.","The fix is designed to reset cpufreq_task_times before error, to ensure all fields are initialized.",N/A,N/A,N/A,N/A
2018-10,CVE-2018-9493,Platform,Framework,Download Manager,2018-10-01,A-111085900,ID,High,"7.0,7.1.1,7.1.2,8.0,8.1,9.0",N/A,"patches/android-7.0.0_r1/platform/frameworks/base/0002-DO-NOT-MERGE-Execute-strict-queries-with-extra-parenthese.bulletin.patch,patches/android-7.0.0_r1/platform/frameworks/base/0003-DO-NOT-MERGE-Extend-SQLiteQueryBuilder-for-update-and-delet.bulletin.patch,patches/android-7.0.0_r1/platform/packages/providers/DownloadProvider/0001-DO-NOT-MERGE-All-untrusted-selections-must-go-through-build.bulletin.patch,patches/android-7.0.0_r1/platform/packages/providers/DownloadProvider/0002-Fix-CTS-regression-caused-by-ag-4690195.bulletin.patch,patches/android-7.1.1_r4/platform/frameworks/base/0002-DO-NOT-MERGE-Execute-strict-queries-with-extra-parenthese.bulletin.patch,patches/android-7.1.1_r4/platform/frameworks/base/0003-DO-NOT-MERGE-Extend-SQLiteQueryBuilder-for-update-and-delet.bulletin.patch,patches/android-7.1.1_r4/platform/packages/providers/DownloadProvider/0001-Merge-commit-25e04e39-into-aug10d-nyc-mr1-dev.bulletin.patch,patches/android-7.1.2_r5/platform/frameworks/base/0002-DO-NOT-MERGE-Execute-strict-queries-with-extra-parenthese.bulletin.patch,patches/android-7.1.2_r5/platform/frameworks/base/0003-DO-NOT-MERGE-Extend-SQLiteQueryBuilder-for-update-and-delet.bulletin.patch,patches/android-7.1.2_r5/platform/packages/providers/DownloadProvider/0001-Merge-commit-b760a3bb-into-aug10d-nyc-mr2-dev.bulletin.patch,patches/android-8.0.0_r1/platform/frameworks/base/0002-DO-NOT-MERGE-Execute-strict-queries-with-extra-parenthese.bulletin.patch,patches/android-8.0.0_r1/platform/frameworks/base/0003-DO-NOT-MERGE-Extend-SQLiteQueryBuilder-for-update-and-delet.bulletin.patch,patches/android-8.0.0_r1/platform/packages/providers/DownloadProvider/0001-Merge-commit-6d489a5f-into-aug10d-oc-dev.bulletin.patch,patches/android-8.1.0_r1/platform/frameworks/base/0002-DO-NOT-MERGE-Execute-strict-queries-with-extra-parenthese.bulletin.patch,patches/android-8.1.0_r1/platform/frameworks/base/0003-DO-NOT-MERGE-Extend-SQLiteQueryBuilder-for-update-and-delet.bulletin.patch,patches/android-8.1.0_r1/platform/packages/providers/DownloadProvider/0001-Merge-commit-6d489a5f-into-aug10d-oc-dev.bulletin.patch,patches/android-9.0.0_r1/platform/frameworks/base/0001-DO-NOT-MERGE-Execute-strict-queries-with-extra-parenthese.bulletin.patch,patches/android-9.0.0_r1/platform/frameworks/base/0002-DO-NOT-MERGE-Extend-SQLiteQueryBuilder-for-update-and-delet.bulletin.patch,patches/android-9.0.0_r1/platform/packages/providers/DownloadProvider/0001-DO-NOT-MERGE-All-untrusted-selections-must-go-through-build.bulletin.patch",N/A,N/A,"In the content provider of the download manager, there is a possible SQL injection due to improper input validation. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.","The fix is designed to prevent SQL injection.

Notes:The patch for CVE-2018-9493 also fixes CVE-2018-9546.",N/A,N/A,N/A,N/A
2018-10,CVE-2018-9490,Platform,Framework,libpac,2018-10-01,A-111274046,EoP,Critical,"7.0,7.1.1,7.1.2,8.0,8.1,9.0",N/A,"patches/android-7.0.0_r1/platform/external/chromium-libpac/0001-Test-for-error-in-handling-getters-changing-element-kind-.bulletin.patch,patches/android-7.0.0_r1/platform/external/v8/0001-DO-NOT-MERGE-Backport-Fix-Object-entries-values-with-changi.bulletin.patch,patches/android-7.1.1_r4/platform/external/chromium-libpac/0001-Test-for-error-in-handling-getters-changing-element-kind-.bulletin.patch,patches/android-7.1.1_r4/platform/external/v8/0001-DO-NOT-MERGE-Backport-Fix-Object-entries-values-with-changi.bulletin.patch,patches/android-7.1.2_r5/platform/external/chromium-libpac/0001-Test-for-error-in-handling-getters-changing-element-kind-.bulletin.patch,patches/android-7.1.2_r5/platform/external/v8/0001-DO-NOT-MERGE-Backport-Fix-Object-entries-values-with-changi.bulletin.patch,patches/android-8.0.0_r1/platform/external/chromium-libpac/0001-Test-for-error-in-handling-getters-changing-element-kind-.bulletin.patch,patches/android-8.0.0_r1/platform/external/v8/0001-Backport-Fix-Object-entries-values-with-changing-elements.bulletin.patch,patches/android-8.1.0_r1/platform/external/chromium-libpac/0001-Test-for-error-in-handling-getters-changing-element-kind-.bulletin.patch,patches/android-8.1.0_r1/platform/external/v8/0001-Backport-Fix-Object-entries-values-with-changing-elements.bulletin.patch,patches/android-9.0.0_r1/platform/external/chromium-libpac/0001-Test-for-error-in-handling-getters-changing-element-kind-.bulletin.patch,patches/android-9.0.0_r1/platform/external/v8/0001-Backport-Fix-Object-entries-values-with-changing-elements.bulletin.patch",N/A,N/A,"In CollectValuesOrEntriesImpl of elements.cc, there is possible remote code execution due to type confusion. This could lead to remote escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.",The fix is designed to prevent the type confusion.,N/A,N/A,N/A,N/A
2018-10,CVE-2018-9491,Platform,Framework,NDK,2018-10-01,A-111603051,RCE,High,"7.0,7.1.1,7.1.2,8.0,8.1,9.0",N/A,"patches/android-7.0.0_r1/platform/frameworks/av/0001-Check-for-overflow-of-crypto-size.bulletin.patch,patches/android-7.1.1_r4/platform/frameworks/av/0001-Check-for-overflow-of-crypto-size.bulletin.patch,patches/android-7.1.2_r5/platform/frameworks/av/0001-Check-for-overflow-of-crypto-size.bulletin.patch,patches/android-8.0.0_r1/platform/frameworks/av/0002-Check-for-overflow-of-crypto-size.bulletin.patch,patches/android-8.1.0_r1/platform/frameworks/av/0002-Check-for-overflow-of-crypto-size.bulletin.patch,patches/android-9.0.0_r1/platform/frameworks/av/0002-Check-for-overflow-of-crypto-size.bulletin.patch",N/A,N/A,"In AMediaCodecCryptoInfo_new of NdkMediaCodec.cpp, there is a possible out-of-bounds write due to an integer overflow. This could lead to remote code execution in external apps with no additional execution privileges needed. User interaction is needed for exploitation.",The fix is designed to check for the overflow condition.,N/A,N/A,N/A,N/A
2018-10,CVE-2018-9515,Kernel,Kernel components,sdcardfs,2018-10-05,A-111641492,EoP,High,N/A,N/A,code_snippets/ANDROID-111641492.zip,Upstream Linux,N/A,"In sdcardfs_create and sdcardfs_mkdir of inode.c, there is a possible memory corruption due to improper locking. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",The fix is designed to hold a lock while changing current->fs.,N/A,N/A,N/A,N/A
